--- SUMMARY ---
Metric,Value
Risk Score,78.9
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,Bello; Robledo; Envigado; Itagüí; Belén

--- ZONE RISKS ---
Zone,Risk Score
Bello,89
2016-03-02,Capturan a 18 presuntos integrantes de la banda más poderosa del Valle de Aburrá,www.lafm.com.co,0.9
2012-08-09,Cabecilla de 'Oficina de Envigado' será extraditado a EE.UU,archivo.cronicadelquindio.com,0.9
2024-12-02,Capturado cabecilla financiero de un grupo delincuencial de Medellín,www.policia.gov.co,0.85
2024-10-03,Capturan al coordinador logístico de la estructura 'Los Chatas' en el Valle de Aburrá,noticias.rcnradio.com,0.85
2024-07-13,A la cárcel 17 presuntos miembros de "Los Pachelly",noticias.rcnradio.com,0.85
2024-08-17,Cárcel al extorsionador del barrio Belén Aguas Frías,rutanoticias.co,0.8
2025-08-12,Secuestró y desapareció a un comerciante en Antioquia: El criminal exigió a sus familiares $5 mil millones,www.alertapaisa.com,0.7
2025-08-12,Cae alias “Viley”, presunto responsable del secuestro y desaparición de porcicultor,h13n.com,0.7
2025-07-09,Condenan a 37 años de cárcel a cabecilla de banda responsable del secuestro y asesinato del ingeniero Alejandro Ramírez,www.infobae.com,0.7
2025-05-20,Caso de hombre asesinado en un restaurante de Medellín tomó un nuevo rumbo: lo que parecía un atraco podría ser un acto de sicariato,www.infobae.com,0.7
2025-05-12,Judicializados siete presuntos integrantes de 'Los Bj', señalados de extorsiones en la comuna 9,www.alertapaisa.com,0.7
2025-03-21,Con tres capturados en las últimas horas, se esclarecen homicidios y se continúa protegiendo la vida en Medellín,www.medellin.gov.co,0.7
2025-02-25,Arde el Suroeste antioqueño: este año van más homicidios que en el Valle de Aburrá,www.elcolombiano.com,0.7
2025-02-13,Estructuras criminales del Valle de Aburrá acordaron dejar de extorsionar por tres meses más,caracol.com.co,0.7
2024-12-18,Capturaron 17 extorsionistas en el Valle de Aburrá: vendían leche y arepas en los barrios,www.bluradio.com,0.7
2024-12-18,Capturaron 17 extorsionistas en el Valle de Aburrá: vendían leche y arepas en los barrios,www.bluradio.com,0.7
2024-12-02,Los exjefes de las AUC que comandan la expansión del Clan del Golfo en el Magdalena Medio,revistaraya.com,0.7
2024-12-02,En Medellín y Bello capturamos a 5 personas por requerimiento de autoridad judicial,www.policia.gov.co,0.7
2024-12-02,los chatas archivos | Q'hubo Medellín,historico.qhubomedellin.com,0.7
2024-12-02,Contundente golpe a las finanzas del grupo delincuencial organizado 'Los Triana',www.policia.gov.co,0.7
2024-12-02,Valle De Aburrá | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-02,Los exjefes de las AUC que comandan la expansión del Clan del Golfo en el Magdalena Medio,revistaraya.com,0.7
2024-12-02,Medellín crime statistics report,www.policia.gov.co,0.7
2024-12-02,Valle De Aburrá | Revelaciones del bajo mundo,www.elcolombiano.com,0.7
2024-12-02,Medellín: 13 homicidios en 24 horas, la mayoría en la comuna 13,telemedellin.tv,0.7
2024-12-01,[Video] Tres capturados en Bello por extorsión, tráfico de drogas y desplazamiento forzado,analisisurbano.org,0.7
2024-11-28,Desmantelan banda delincuencial ‘Los Peludos’: se encargaban de monopolizar hasta la venta de arepas,www.infobae.com,0.7
2024-09-16,Los secuestros extorsivos se triplicaron en Antioquia desde 2020: ¿Quiénes están detrás?,www.elcolombiano.com,0.7
2024-08-26,Este 2024 en Bello, han capturado a más 16 cabecillas de grupos delincuenciales,h13n.com,0.7
2023-07-24,Policía capturó a 17 personas por extorsión y secuestro en el Valle de Aburrá,caracol.com.co,0.7
2022-02-19,Édgar Benjumea, Mono Clinton, fue condenado a 40 años por secuestro a empresarios de Medellín,www.elcolombiano.com,0.7
2020-12-04,Detenidos 23 policías por nexos con bandas de Belén y Barrio Antioquia,www.elcolombiano.com,0.7
2019-06-08,Banda de Alex Pin perdió a dos de sus integrantes en Barrio Antioquia: fueron a parar a la cárcel,analisisurbano.org,0.7
2019-03-22,Las confesiones de ‘La Rata’, el jefe de una banda que aterrorizó a Aguas Frías en Medellín,www.noticiascaracol.com,0.7
2018-01-15,Asesinatos en Medellín: primera racha violenta del 2018,www.elcolombiano.com,0.7
2017-10-03,Asegurados por presuntas extorsiones a constructores en el Aburrá norte,caracol.com.co,0.7
2016-02-20,Ejército y CTI desarticulan peligrosa banda de extorsionistas en Medellín,caracol.com.co,0.7
2015-09-03,Ataque armado deja dos muertos y dos heridos en Belén Rincón,www.elcolombiano.com,0.7
2025-11-03,Capturado en Medellín un hombre que extorsionaba al alcalde de La Estrella,analisisurbano.org,0.6
2025-10-29,Capturados en Itagüí dos presuntos extorsionistas que exigían $10 millones a un ciudadano,caracol.com.co,0.6
2025-01-17,Disminuyen los índices de criminalidad en el municipio de Bello: Hay reducción en extorsiones y homicidios,www.alertapaisa.com,0.6
2024-12-02,Mega operativo le da un golpe a la extorsión y el secuestro en el municipio de Bello,www.bello.gov.co,0.6
2024-12-02,En Medellín, 2023 cerró con 1.000 homicidios menos que en 2022,telemedellin.tv,0.6
2024-12-02,Medellín: 2024 cerraría con menos de 400 homicidios, la cifra más baja en 50 años,telemedellin.tv,0.6
2024-02-27,52% redujo la extorsión en Medellín al inicio de este 2024,enotroangulo.com.co,0.6
2024-02-02,Secuestro aumentó 60% en Medellín en 2023: Fundación Sumapaz,www.elcolombiano.com,0.6
2023-09-28,Utilizaban adolescentes para atraer extranjeros a Colombia y luego los secuestraban en Medellín y Cartagena: así operaba la banda desarticulada por la Policía,www.infobae.com,0.6
2020-12-29,Habría secuestrado y asesinado al ingeniero Alejandro Ramírez en Medellín,www.alertapaisa.com,0.6
2018-08-12,Seguimiento policial desde helicóptero Halcón sirvió para capturar a jíbaro venezolano en Medellín,analisisurbano.org,0.6
2025-11-12,Murió señalado ladrón tras el hurto de una moto en el centro de Medellín,www.elcolombiano.com,0.4
2025-10-31,Mandaron a prisión a un abogado que estaría extorsionando al alcalde de La Estrella, Antioquia,www.elcolombiano.com,0.4
2025-10-07,Diez cabecillas ecuatorianos han caído en Colombia, un signo de la expansión de los 'microcarteles' de Ecuador,www.primicias.ec,0.4
2025-10-03,Capturado en Medellín cabecilla de red transnacional de trata de personas con apoyo internacional,ifmnoticias.com,0.4
2025-09-16,Alias Lampara, asesino de niño en Medellín: secuestros, violencia intrafamiliar, historial criminal y una red de impunidad,www.infobae.com,0.4
2025-08-01,Más secuestro exprés en Medellín…mientras Alcaldía y secretaría de Seguridad siguen "roncando",rutanoticias.co,0.4
2025-06-20,Exclusivo: ordenan la libertad inmediata de alias Mono Clinton, integrante del Estado Mayor del ELN, por ser gestor de paz,www.semana.com,0.4
2025-06-09,Capturan a cuatro extranjeros en Medellín por narcotráfico y otros delitos: Alias “Metralleta” lideraba el grupo,elmetro.co,0.4
2025-05-03,Otro policía es asesinado en Antioquia: el uniformado estaba de vacaciones,www.noticiascaracol.com,0.4
